title,count
Will Alex Bores win the NY-12 Democratic Primary by less than 5%?,540
Will the U.S. invade Iran before 2027?,489
Will Ronaldo Cry at the World Cup?,456
Tyler Robinson convicted of homicide?,364
Will Google have the best AI model at the end of July 2026?,307
Will the Liberal Democratic Party of Russia (LDPR) gain the most seats in the next Russian parliamentary election?,304
Will Uhlsport be the brand of gloves worn by the Golden Glove winner at the 2026 FIFA World Cup?,236
"Will OpenAI release a new frontier model on or before September 30, 2026?",197
Will Pope Leo XIV be TIME's Person of the Year for 2025?,188
Will Alex Bores win the NY-12 Democratic Primary by 5% or more?,183
