,date,trade_type,side,outcome,amount,price,total,title,user
0,2026-07-04 16:28,TRADE,BUY,No,3411.91,0.36,1228.2875999999999,US-Iran 60 day negotiation period extended?,0xe4de861d59e174d3d153a5968bc122c66f30c949
1,2026-07-04 16:27,TRADE,SELL,No,5021.96,0.95,4770.862,Strait of Hormuz traffic returns to normal by July 15?,0xe4de861d59e174d3d153a5968bc122c66f30c949
2,2026-07-04 16:19,TRADE,BUY,No,426.13,0.6396949288,272.593200009544,Strait of Hormuz traffic returns to normal by August 31?,0xe4de861d59e174d3d153a5968bc122c66f30c949
3,2026-07-04 16:18,TRADE,BUY,No,5000.0,0.48587572,2429.3786,Strait of Hormuz traffic returns to normal by September 30?,0xe4de861d59e174d3d153a5968bc122c66f30c949
4,2026-07-04 16:17,TRADE,BUY,No,15.88,0.63,10.0044,Strait of Hormuz traffic returns to normal by August 31?,0xe4de861d59e174d3d153a5968bc122c66f30c949
5,2026-07-04 16:17,TRADE,BUY,No,1603.98,0.63,1010.5074000000001,Strait of Hormuz traffic returns to normal by August 31?,0xe4de861d59e174d3d153a5968bc122c66f30c949
6,2026-07-04 15:30,TRADE,BUY,No,20047.97,0.2,4009.5940000000005,Strait of Hormuz traffic returns to normal by December 31?,0xe4de861d59e174d3d153a5968bc122c66f30c949
7,2026-07-03 20:12,YIELD,,,0.4452,0.0,0.0,,0xe4de861d59e174d3d153a5968bc122c66f30c949
8,2026-07-03 08:13,TRADE,BUY,No,10000.0,0.40639338,4063.9338000000002,US-Iran 60 day negotiation period extended?,0xe4de861d59e174d3d153a5968bc122c66f30c949
9,2026-07-03 07:46,TRADE,BUY,Yes,1408.99,0.6132532523,864.0676999581771,Will Gigi Hadid be one of Taylor Swift's bridesmaids?,0xe4de861d59e174d3d153a5968bc122c66f30c949
10,2026-07-03 07:22,TRADE,BUY,No,10000.0,0.57574678,5757.4678,Tyler Robinson convicted of homicide?,0xe4de861d59e174d3d153a5968bc122c66f30c949
11,2026-07-03 07:21,MERGE,,,10000.0,0.0,0.0,Will JD Vance win the 2028 US Presidential Election?,0xe4de861d59e174d3d153a5968bc122c66f30c949
12,2026-07-02 20:14,YIELD,,,0.8904,0.0,0.0,,0xe4de861d59e174d3d153a5968bc122c66f30c949
13,2026-07-01 20:15,YIELD,,,0.8904,0.0,0.0,,0xe4de861d59e174d3d153a5968bc122c66f30c949
14,2026-06-30 20:12,YIELD,,,0.8904,0.0,0.0,,0xe4de861d59e174d3d153a5968bc122c66f30c949
15,2026-06-29 20:18,YIELD,,,0.8904,0.0,0.0,,0xe4de861d59e174d3d153a5968bc122c66f30c949
16,2026-06-29 07:02,TRADE,BUY,No,8235.62,0.3472239613,2859.6046001615064,"Will 60 ships transit the Strait of Hormuz on any day by July 31, 2026?",0xe4de861d59e174d3d153a5968bc122c66f30c949
17,2026-06-28 20:13,YIELD,,,1.0759,0.0,0.0,,0xe4de861d59e174d3d153a5968bc122c66f30c949
18,2026-06-28 00:22,TRADE,BUY,No,4321.69,0.7191669925,3108.016799817325,Mojtaba Khamenei seen in public by July 31?,0xe4de861d59e174d3d153a5968bc122c66f30c949
19,2026-06-28 00:22,MERGE,,,10000.0,0.0,0.0,Will JD Vance win the 2028 US Presidential Election?,0xe4de861d59e174d3d153a5968bc122c66f30c949
20,2026-06-27 20:14,YIELD,,,2.6178,0.0,0.0,,0xe4de861d59e174d3d153a5968bc122c66f30c949
21,2026-06-27 19:37,TRADE,BUY,Yes,620.23,0.14,86.83220000000001,"Will Elon Musk post 200-219 tweets from June 23 to June 30, 2026?",0xe4de861d59e174d3d153a5968bc122c66f30c949
22,2026-06-27 19:31,TRADE,BUY,No,3286.96,0.8,2629.568,Strait of Hormuz traffic returns to normal by July 15?,0xe4de861d59e174d3d153a5968bc122c66f30c949
23,2026-06-27 19:30,MERGE,,,2800.0,0.0,0.0,Will JD Vance win the 2028 US Presidential Election?,0xe4de861d59e174d3d153a5968bc122c66f30c949
24,2026-06-27 19:28,TRADE,BUY,No,1735.0,0.8,1388.0,Strait of Hormuz traffic returns to normal by July 15?,0xe4de861d59e174d3d153a5968bc122c66f30c949
25,2026-06-27 19:11,TRADE,BUY,No,8712.23,0.59,5140.2157,Strait of Hormuz traffic returns to normal by July 31?,0xe4de861d59e174d3d153a5968bc122c66f30c949
26,2026-06-27 18:31,TRADE,BUY,No,1056.23,0.6203537203,655.2362099924691,"Will the next Google Gemini Pro model be released on July 17, 2026?",0xe4de861d59e174d3d153a5968bc122c66f30c949
27,2026-06-27 17:08,MERGE,,,7200.0,0.0,0.0,Will JD Vance win the 2028 US Presidential Election?,0xe4de861d59e174d3d153a5968bc122c66f30c949
28,2026-06-26 20:17,YIELD,,,0.4452,0.0,0.0,,0xe4de861d59e174d3d153a5968bc122c66f30c949
29,2026-06-26 15:59,SPLIT,,,30000.0,0.5,15000.0,Will JD Vance win the 2028 US Presidential Election?,0xe4de861d59e174d3d153a5968bc122c66f30c949
30,2026-06-26 10:14,TRADE,BUY,Yes,9.523808,0.2099999286,1.9999990000001089,Will Norway win on 2026-06-26?,0xe4de861d59e174d3d153a5968bc122c66f30c949
31,2026-06-26 09:48,TRADE,BUY,No,2.941175,0.33999983,0.99999900000025,Will there be between 40 and 60 average daily transits of the Strait of Hormuz on June 30?,0xe4de861d59e174d3d153a5968bc122c66f30c949
